Municipality,Type,County,Population (2020),Year Incorporated
Oakland,Town,Kennebec,"6,230",1873
Winthrop,Town,Kennebec,"6,121",1771
Houlton,Town,Aroostook (seat),"6,055",1831
Gardiner,City,Kennebec,"5,961",1803
Poland,Town,Androscoggin,"5,906",1795
Rumford,Town,Oxford,"5,858",1800
Turner,Town,Androscoggin,"5,817",1786
New Gloucester,Town,Cumberland,"5,676",1774
Bridgton,Town,Cumberland,"5,418",1794
Camden,Town,Knox,"5,232",1791
Paris,Town,Oxford (seat),"5,179",1793
Waldoboro,Town,Lincoln,"5,154",1773
Bar Harbor,Town,Hancock,"5,098",1796
Norway,Town,Oxford,"5,077",1797
Sabattus,Town,Androscoggin,"5,044",1840
Harpswell,Town,Cumberland,"5,031",1775
North Berwick,Town,York,"4,978",1831
Bucksport,Town,Hancock,"4,944",1792
Warren,Town,Knox,"4,865",1776
Lincoln,Town,Penobscot,"4,853",1829
Hollis,Town,York,"4,745",1798
Madison,Town,Somerset,"4,726",1804
Glenburn,Town,Penobscot,"4,648",1822
Sidney,Town,Kennebec,"4,645",1792
Jay,Town,Franklin,"4,620",1795
Raymond,Town,Cumberland,"4,536",1803
Lyman,Town,York,"4,525",1778
Vassalboro,Town,Kennebec,"4,520",1771
Dover-Foxcroft,Town,Piscataquis (seat),"4,422",1822
China,Town,Kennebec,"4,408",1818
Greene,Town,Androscoggin,"4,376",1788
Arundel,Town,York,"4,264",1915
Oxford,Town,Oxford,"4,229",1829
Durham,Town,Androscoggin,"4,173",1789
Millinocket,Town,Penobscot,"4,114",1901
North Yarmouth,Town,Cumberland,"4,072",1680
Fort Kent,Town,Aroostook,"4,067",1869
Monmouth,Town,Kennebec,"4,066",1792
Naples,Town,Cumberland,"3,925",1834
Pittsfield,Town,Somerset,"3,908",1819
Limington,Town,York,"3,892",1792
Madawaska,Town,Aroostook,"3,867",1831
Wilton,Town,Franklin,"3,835",1803
Winterport,Town,Waldo,"3,817",1860
Orrington,Town,Penobscot,"3,812",1788
Dexter,Town,Penobscot,"3,803",1816
Wiscasset,Town,Lincoln (seat),"3,742",1760
West Gardiner,Town,Kennebec,"3,671",1850
Casco,Town,Cumberland,"3,646",1841
Rockport,Town,Knox,"3,644",1891
Kennebunkport,Town,York,"3,629",1653
Litchfield,Town,Kennebec,"3,586",1795
Richmond,Town,Sagadahoc,"3,522",1823
Clinton,Town,Kennebec,"3,370",1795
Fryeburg,Town,Oxford,"3,369",1777
